id,code,name,creator_id,created_at,updated_at,deleted_at,email,phone,fax,tax_number,customer_id,address,media_id,user_id
1,HMA,Hat Makers,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,c.grau@hatmakers.de,+49 (176) 819 78900,,,1,Neuer Kamp 32,,
2,GHA,Gold Headwear,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,nik.olss92@gmail.com,,,,2,5 rue de la Loge,,
3,GLR,"Glory International Co.,Ltd",1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,gloryusa.k@gmail.com,+81 362 689 971,,,3,"3-1-8 Misakicho, Amano Bld., 6fl., Chiyoda - Ku,Tokyo, Japan",,
4,BEX,Bex Sunglassed LLC,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,jason@bexsunglasses.com,+1 702.533.5901,,,4,"3100 N. Moapa Valley Blvd, Logandale",,
5,BFA,CapeCap,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,jw.wulff@capecap.de,+49 (0)171 502 0705,,,5,Lerchenstr. 28,,
6,CZ6,Intelligence Marketing CZ68,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,claudiozampini@gmail.com,+41 76 332 26 87,,,6,"Route de Choulex, 129",,
7,GFO,Grace Folly,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,+84 0904 471 861,,,7,"E18 Cư Xá Phú Thọ Hòa, Đường Gò Cẩm Đệm, Phường 10, Quận Tân Bình",,
8,KTY,"New Vision Technologies, LLC",1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,katy@vimhue.com,+00 (859)444-2572,,,8,"4411 N 46 th place, Phoenix",,
9,CIE,Ciele Athletics Inc,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,bc@cieleathletics.com,+1 (514) 836 9724,,,9,"103-2215 Ave Beaconsfield, Montreal",,
10,MWA,Many Ways SA,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,xavier@many-ways.ch,+41 79 606 50 70,,,10,Avenue Longemalle 21B,,
11,CBA,"CapBoy Trading Co.,Ltd",1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,capboyseoul@naver.com,+82 10 5253 8519,,,11,"223-4 Shinwol 1Dong, Yangchun Gu",,
12,ROV,ROVE Supply Co,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,Zachary@rovesupply.com,970-209-4554,,,12,"12685 Saint Moritz Ln, Truckee",,
13,TRO,Timroon,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,,,,,13,"690 Canton St, Westwood",,
14,MDT,M Deluxe Textiles GmbH,1,2022-05-03 17:28:40+00:00,2022-05-03 17:28:40+00:00,,Eric.Voigtsberger@mdeluxe.de,+49 (241) 180 1800,,,14,Sonnenscheinstr. 74,,
