id,quantity,creator_id,created_at,updated_at,deleted_at,manufacture_product_id,manufacture_dept_id,task_id,order_id
40,603.000000,400,2022-11-07 10:59:23+00:00,2022-11-07 10:59:23+00:00,,73,3,15,1971
56,60.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,577,3,174,2140
57,60.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,578,3,174,2140
58,33.000000,400,2022-11-08 10:21:55+00:00,2022-11-08 10:21:55+00:00,,582,3,174,2140
59,65.000000,400,2022-11-08 10:23:42+00:00,2022-11-08 10:23:42+00:00,,604,3,178,2139
60,65.000000,400,2022-11-08 10:23:42+00:00,2022-11-08 10:23:42+00:00,,605,3,178,2139
61,33.000000,400,2022-11-08 10:23:42+00:00,2022-11-08 10:23:42+00:00,,609,3,178,2139
62,117.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,310,3,81,2116
63,126.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,311,3,81,2116
64,103.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,315,3,81,2116
65,68.000000,400,2022-11-08 10:38:49+00:00,2022-11-08 10:38:49+00:00,,316,3,81,2116
71,146.200000,400,2022-11-08 10:51:49+00:00,2022-11-09 14:06:29+00:00,,229,3,58,2129
76,626.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,88,3,14,1971
77,603.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,89,3,14,1971
78,603.000000,400,2022-11-08 11:20:29+00:00,2022-11-08 11:20:29+00:00,,90,3,14,1971
83,210.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,508,3,152,1985
84,210.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,509,3,152,1985
85,220.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,511,3,152,1985
86,200.000000,400,2022-11-08 12:52:00+00:00,2022-11-08 12:52:00+00:00,,514,3,152,1985
87,10402.000000,400,2022-11-08 13:37:37+00:00,2022-11-22 09:11:26+00:00,,519,3,155,1902
90,139.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,142,3,31,2134
91,117.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,143,3,31,2134
92,119.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,144,3,31,2134
93,120.000000,400,2022-11-08 14:25:17+00:00,2022-11-08 14:25:17+00:00,,145,3,31,2134
94,117.200000,400,2022-11-08 14:40:59+00:00,2022-11-09 14:06:29+00:00,,230,3,58,2129
96,250.000000,400,2022-11-08 14:50:20+00:00,2022-11-08 14:50:20+00:00,,346,3,94,2113
108,139.000000,400,2022-11-09 10:18:04+00:00,2022-11-09 10:18:04+00:00,,180,3,43,2132
109,116.000000,400,2022-11-09 10:18:05+00:00,2022-11-12 11:21:19+00:00,,181,3,43,2132
121,102.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,231,3,58,2129
122,102.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,234,3,58,2129
123,67.000000,400,2022-11-09 14:06:29+00:00,2022-11-09 14:06:29+00:00,,235,3,58,2129
124,102.000000,400,2022-11-09 14:08:44+00:00,2022-11-09 14:08:44+00:00,,243,3,59,2129
125,200.000000,400,2022-11-09 14:14:51+00:00,2022-11-09 14:14:51+00:00,,327,3,85,2115
126,201.000000,400,2022-11-09 14:15:43+00:00,2022-11-11 10:42:45+00:00,,329,3,86,2115
131,102.000000,400,2022-11-09 14:56:31+00:00,2022-11-09 14:56:31+00:00,,147,3,31,2134
132,67.000000,400,2022-11-09 14:56:31+00:00,2022-11-09 14:56:31+00:00,,149,3,31,2134
135,120.000000,400,2022-11-10 08:49:59+00:00,2022-11-10 08:49:59+00:00,,184,3,43,2132
149,139.000000,400,2022-11-10 09:19:40+00:00,2022-11-22 10:46:43+00:00,,188,3,44,2132
158,148.000000,400,2022-11-11 08:14:51+00:00,2022-11-11 08:14:51+00:00,,244,3,59,2129
159,115.000000,400,2022-11-11 08:14:51+00:00,2022-11-11 08:14:51+00:00,,245,3,59,2129
166,117.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,312,3,81,2116
167,79.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,313,3,81,2116
168,165.000000,400,2022-11-11 09:14:00+00:00,2022-11-11 09:14:00+00:00,,314,3,81,2116
169,118.000000,400,2022-11-11 09:14:43+00:00,2022-11-11 09:14:43+00:00,,319,3,83,2116
170,126.000000,400,2022-11-11 09:14:43+00:00,2022-11-11 09:14:43+00:00,,320,3,83,2116
171,380.000000,400,2022-11-11 10:13:38+00:00,2022-11-11 10:13:38+00:00,,91,3,14,1971
172,925.000000,400,2022-11-11 10:13:38+00:00,2022-11-11 10:13:38+00:00,,92,3,14,1971
178,218.000000,400,2022-11-11 10:43:04+00:00,2022-11-11 10:43:04+00:00,,330,3,87,2115
184,151.000000,400,2022-11-11 10:51:16+00:00,2022-11-11 10:51:16+00:00,,146,3,31,2134
185,67.000000,400,2022-11-11 10:51:16+00:00,2022-11-11 10:51:16+00:00,,148,3,31,2134
186,102.000000,400,2022-11-11 10:53:48+00:00,2022-11-11 10:53:48+00:00,,150,3,32,2134
187,120.000000,400,2022-11-11 10:53:48+00:00,2022-11-11 10:53:48+00:00,,151,3,32,2134
253,67.000000,400,2022-11-14 10:51:57+00:00,2022-11-14 10:51:57+00:00,,232,3,58,2129
254,151.000000,400,2022-11-14 10:51:57+00:00,2022-11-14 10:51:57+00:00,,233,3,58,2129
261,55.000000,400,2022-11-15 07:44:43+00:00,2022-11-15 07:44:43+00:00,,579,3,174,2140
262,33.000000,400,2022-11-15 07:44:43+00:00,2022-11-15 07:44:43+00:00,,580,3,174,2140
263,74.000000,400,2022-11-15 07:44:43+00:00,2022-11-15 07:44:43+00:00,,581,3,174,2140
264,50.000000,400,2022-11-15 07:45:11+00:00,2022-11-15 07:45:11+00:00,,586,3,175,2140
265,30.000000,400,2022-11-15 07:47:08+00:00,2022-11-15 07:47:08+00:00,,606,3,178,2139
266,33.000000,400,2022-11-15 07:47:08+00:00,2022-11-15 07:47:08+00:00,,607,3,178,2139
267,74.000000,400,2022-11-15 07:47:09+00:00,2022-11-15 07:47:09+00:00,,608,3,178,2139
268,50.000000,400,2022-11-15 07:47:25+00:00,2022-11-15 07:47:25+00:00,,610,3,179,2139
287,623.000000,400,2022-11-16 09:01:57+00:00,2022-11-16 09:01:57+00:00,,646,3,192,2174
288,675.000000,400,2022-11-16 09:01:57+00:00,2022-11-16 09:01:57+00:00,,647,3,192,2174
289,645.000000,400,2022-11-16 09:01:57+00:00,2022-11-16 09:01:57+00:00,,648,3,192,2174
290,378.000000,400,2022-11-16 09:01:57+00:00,2022-11-16 09:01:57+00:00,,651,3,192,2174
291,616.000000,400,2022-11-16 09:04:23+00:00,2022-11-16 09:04:23+00:00,,659,3,196,2175
292,648.000000,400,2022-11-16 09:04:23+00:00,2022-11-16 09:04:23+00:00,,660,3,196,2175
293,645.000000,400,2022-11-16 09:04:23+00:00,2022-11-16 09:04:23+00:00,,661,3,196,2175
294,378.000000,400,2022-11-16 09:04:23+00:00,2022-11-16 09:04:23+00:00,,664,3,196,2175
306,143.000000,400,2022-11-17 09:55:23+00:00,2022-11-17 09:55:23+00:00,,539,3,164,2158
307,129.000000,400,2022-11-17 09:55:23+00:00,2022-11-17 09:55:23+00:00,,540,3,164,2158
308,66.000000,400,2022-11-17 09:55:23+00:00,2022-11-17 09:55:23+00:00,,541,3,164,2158
309,149.000000,400,2022-11-17 09:55:24+00:00,2022-11-17 09:55:24+00:00,,542,3,164,2158
310,100.000000,400,2022-11-17 09:55:24+00:00,2022-11-17 09:55:24+00:00,,543,3,164,2158
311,66.000000,400,2022-11-17 09:55:24+00:00,2022-11-17 09:55:24+00:00,,544,3,164,2158
312,100.000000,400,2022-11-17 09:56:17+00:00,2022-11-17 09:56:17+00:00,,545,3,165,2158
313,116.000000,400,2022-11-17 10:07:21+00:00,2022-11-17 10:07:21+00:00,,849,3,260,2227
314,128.000000,400,2022-11-17 10:07:21+00:00,2022-11-17 10:07:21+00:00,,850,3,260,2227
315,120.000000,400,2022-11-17 10:07:21+00:00,2022-11-17 10:07:21+00:00,,851,3,260,2227
316,67.000000,400,2022-11-17 10:07:21+00:00,2022-11-17 10:07:21+00:00,,852,3,260,2227
317,151.000000,400,2022-11-17 10:07:22+00:00,2022-11-17 10:07:22+00:00,,853,3,260,2227
318,102.000000,400,2022-11-17 10:07:22+00:00,2022-11-17 10:07:22+00:00,,854,3,260,2227
319,67.000000,400,2022-11-17 10:07:22+00:00,2022-11-17 10:07:22+00:00,,855,3,260,2227
320,259.000000,400,2022-11-17 10:23:45+00:00,2022-11-17 10:23:45+00:00,,863,3,264,2228
321,162.000000,400,2022-11-17 10:23:45+00:00,2022-11-17 10:23:45+00:00,,864,3,264,2228
322,375.000000,400,2022-11-17 10:23:45+00:00,2022-11-17 10:23:45+00:00,,865,3,264,2228
