code,name,qrcode,description,quantity,creator_id,created_at,updated_at,deleted_at,color,size,po,tolerance,loss_percentage,price,started_at,completed_at,order_id,customer_id,product_pattern_id,supplier_delivery_id,tax_id,payment_method_id,currency_id,debit_detail_id,is_complete,vnd_exchange_rate,vnd_exchange
DYC-US-220425-Ginè Energy-558,DYC-US-220425-Ginè Energy-558,1666975066DH32,<p>Đơn h&agrave;ng Reorder DYC-US-220219-Gin&egrave; Energy-514</p>,100.000000,234,2022-05-05 17:05:01+00:00,2022-10-28 23:37:47+00:00,,,,,103.000000,0.000000,400.0000000000,2022-05-05,2022-05-28,32,73,85.0,,,3.0,2,,1,22800.0,9120000.0
DYC-US-220425-Vendome-557,DYC-US-220425-Vendome-557,1666975067DH33,,100.000000,234,2022-05-05 17:14:22+00:00,2022-10-28 23:37:47+00:00,,,,,103.000000,0.000000,400.0000000000,2022-05-05,2022-05-28,33,73,85.0,,,3.0,2,,1,22800.0,0.0
TTD-220428-R.A.D 54cm,TTD-220428-R.A.D,1666975067DH31,,80.000000,346,2022-05-06 13:25:27+00:00,2022-10-28 23:37:47+00:00,,,,,81.000000,7.000000,0E-10,2022-05-06,2022-06-01,31,72,73.0,,,2.0,2,,1,0.0,0.0
TTD-220428-R.A.D 58cm,TTD-220428-R.A.D,1666975068DH30,<p>Kh&aacute;ch c&oacute; event cần xuất đ&uacute;ng ng&agrave;y</p>,920.000000,346,2022-05-06 13:25:50+00:00,2022-10-28 23:37:48+00:00,,,,,921.000000,3.000000,0E-10,2022-05-06,2022-06-01,30,72,67.0,,,2.0,2,,1,0.0,0.0
R2B-97-AC2204676 MB CONCEPT,R2B-97-AC2204676 MB CONCEPT,1666975068DH34,,250.000000,240,2022-05-06 13:37:38+00:00,2022-10-28 23:37:48+00:00,,,,,250.000000,7.000000,0E-10,2022-05-06,2022-06-11,34,15,127.0,,,,2,,1,0.0,0.0
TTD-220328-Trucker Patch Embroidered Camo-Black,TTD-220328-Trucker Patch Embroidered Camo-Black,1666975068DH29,,150.000000,346,2022-05-06 13:51:14+00:00,2022-10-28 23:37:48+00:00,,,,,151.000000,7.000000,0E-10,2022-05-06,2022-06-07,29,71,72.0,,,2.0,2,,1,0.0,0.0
BF-220402-PEMBROKE CLASSIC SPORT PASTEL LILAC,BF-220402-PEMBROKE CLASSIC SPORT,1666975068DH16,,100.000000,346,2022-05-06 14:39:42+00:00,2022-10-28 23:37:48+00:00,,,,,100.000000,0.000000,0E-10,2022-05-06,2022-06-06,16,5,70.0,,,2.0,2,,1,0.0,0.0
BF-220402-PEMBROKE HUF GRAPHITE,BF-220402-PEMBROKE HUF,1666975069DH26,,100.000000,346,2022-05-06 14:42:08+00:00,2022-10-28 23:37:49+00:00,,,,,100.000000,0.000000,0E-10,2022-05-06,2022-06-06,26,5,71.0,,,2.0,2,,1,0.0,0.0
BF-220402-PEMBROKE HUF GRAY,BF-220402-PEMBROKE HUF,1666975069DH25,,100.000000,346,2022-05-06 14:42:30+00:00,2022-10-28 23:37:49+00:00,,,,,100.000000,0.000000,0E-10,2022-05-06,2022-06-06,25,5,71.0,,,2.0,2,,1,0.0,0.0
BF-220402-PEMBROKE HUF OCEANSIDE BLUE,BF-220402-PEMBROKE HUF,1666975069DH23,,200.000000,346,2022-05-06 14:42:56+00:00,2022-10-28 23:37:49+00:00,,,,,200.000000,0.000000,0E-10,2022-05-06,2022-06-06,23,5,71.0,,,2.0,2,,1,0.0,0.0
