id,created_at,updated_at,deleted_at,order_id,prod_not_exist_order_id,manufacture_dept_id,target_quantity,actual_quantity,complete_percent
1,2022-10-22 03:00:00+00:00,2022-12-05 16:15:05+00:00,,,1.0,7,172.00,293.00,170.35
2,2022-10-22 03:00:00+00:00,2022-12-05 16:15:05+00:00,,,2.0,8,12.00,0.00,0.00
3,2022-10-22 03:00:00+00:00,2022-12-05 16:15:05+00:00,,,3.0,9,5.00,0.00,0.00
4,2022-10-22 03:00:00+00:00,2022-12-05 16:15:05+00:00,,,4.0,10,0.00,0.00,0.00
5,2022-10-23 03:00:00+00:00,2022-12-05 16:15:06+00:00,,,1.0,7,440.00,0.00,0.00
6,2022-10-23 03:00:00+00:00,2022-12-05 16:15:06+00:00,,,2.0,8,440.00,0.00,0.00
7,2022-10-23 03:00:00+00:00,2022-12-05 16:15:06+00:00,,,3.0,9,400.00,0.00,0.00
8,2022-10-23 03:00:00+00:00,2022-12-05 16:15:06+00:00,,,4.0,10,440.00,0.00,0.00
9,2022-10-24 03:00:00+00:00,2022-12-05 16:15:08+00:00,,,5.0,6,173.00,0.00,0.00
10,2022-10-24 03:00:00+00:00,2022-12-05 16:15:08+00:00,,,1.0,7,440.00,0.00,0.00
11,2022-10-24 03:00:00+00:00,2022-12-05 16:15:08+00:00,,,2.0,8,440.00,505.00,114.77
12,2022-10-24 03:00:00+00:00,2022-12-05 16:15:08+00:00,,,3.0,9,264.00,319.00,120.83
13,2022-10-24 03:00:00+00:00,2022-12-05 16:15:08+00:00,,,4.0,10,440.00,480.00,109.09
14,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,6.0,5,680.00,1069.00,157.21
15,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,5.0,6,440.00,516.00,117.27
16,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,1.0,7,440.00,507.00,115.23
17,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,2.0,8,440.00,503.00,114.32
18,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,3.0,9,264.00,300.00,113.64
19,2022-10-25 03:00:00+00:00,2022-12-05 16:15:10+00:00,,,4.0,10,440.00,465.00,105.68
20,2022-10-26 03:00:00+00:00,2022-12-05 16:15:12+00:00,,,6.0,5,880.00,809.00,91.93
21,2022-10-26 03:00:00+00:00,2022-12-05 16:15:12+00:00,,,7.0,6,0.00,25.00,0.00
22,2022-10-26 03:00:00+00:00,2022-12-05 16:15:12+00:00,,,5.0,6,438.00,510.00,116.44
23,2022-10-26 03:00:00+00:00,2022-12-05 16:15:12+00:00,,,1.0,7,440.00,545.00,123.86
