product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete,amount,vnd_exchange_rate,vnd_exchange
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,1794,0,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,1601,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,16620,5000.000000,388,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,891,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,590,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,1255,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,12000,1200.000000,1757,1,17000.000000,0.0,0.0
1,1-LUOIMA-BLK-80-CM,16620,10000.000000,110,0,17000.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,10000.000000,1255,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,10127,10000.000000,110,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,1794,0,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,634,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,10127,5000.000000,39,0,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,231,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,10000.000000,891,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,7000.000000,548,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,1444,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,10000.000000,1601,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,20000.000000,693,1,16700.000000,0.0,0.0
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,590,1,16700.000000,0.0,0.0
3,1-LUOIMA-LWH-80-CM,8583,4570.000000,987,1,17000.000000,,
4,1-LUOIMA-BLK-28-CM,12002,5000.000000,590,1,7500.000000,0.0,0.0
4,1-LUOIMA-BLK-28-CM,12002,2500.000000,1546,1,7500.000000,0.0,0.0
4,1-LUOIMA-BLK-28-CM,12002,4000.000000,1757,1,7500.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,3000.000000,1244,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,5000.000000,928,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,5000.000000,590,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,2500.000000,1546,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,4000.000000,1757,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,12003,5000.000000,1402,1,6700.000000,0.0,0.0
5,1-LUOIMA-WHI-28-CM,9912,1000.000000,1244,1,6700.000000,,
6,1-CO5960-BKR-00-CT,12004,100.000000,792,1,8.490000,22800.0,193572.0
7,1-CO5960-FER-00-CT,12005,100.000000,792,1,8.490000,22800.0,193572.0
8,1-CO5960-MIB-00-CT,12006,100.000000,792,0,8.490000,22800.0,193572.0
9,1-CO7033-AMT-00-EW,12007,500.000000,510,1,4.480000,22800.0,102144.0
10,1-CO7033-BLK-00-EW,11809,500.000000,228,1,4.480000,22800.0,102144.0
12,1-CO7033-EBN-00-EW,12009,500.000000,510,1,4.480000,22800.0,102144.0
14,1-CO7033-LMG-00-EW,12011,500.000000,510,1,4.480000,22800.0,102144.0
15,1-CO7033-PAF-00-EW,12012,500.000000,510,1,4.480000,22800.0,102144.0
16,1-CO7033-PEC-00-EW,12013,500.000000,510,1,4.480000,22800.0,102144.0
16,1-CO7033-PEC-00-EW,12013,50.000000,1513,1,4.480000,23600.0,105728.0
16,1-CO7033-PEC-00-EW,12013,400.000000,1596,0,4.480000,23450.0,105056.0
26,1-COTO01-FSH-00-GF,26,145.000000,1533,1,0.000000,0.0,0.0
26,1-COTO01-FSH-00-GF,26,20.000000,497,1,0.000000,0.0,0.0
29,1-COVAC0-BGD-00-HV,10302,300.000000,66,1,2.800000,22800.0,63840.0
47,1-COTO02-ONG-00-BV,47,54.000000,804,0,0.000000,22800.0,0.0
74,1-CVAC04-SCA-00-HV,8366,1000.000000,1018,1,2.800000,22800.0,63840.0
74,1-CVAC04-SCA-00-HV,8366,500.000000,259,1,2.800000,22800.0,63840.0
74,1-CVAC04-SCA-00-HV,10297,1000.000000,43,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1373,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,469,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,173,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,972,0,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1028,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1089,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,653,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,357,1,2.800000,0.0,0.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1721,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1789,0,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1458,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1759,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,16750,2000.000000,866,0,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,550,1,2.800000,22800.0,63840.0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,298,1,2.800000,22800.0,63840.0
87,8-CI0144-000-ST-TL,20116,5000.000000,1216,1,350.000000,0.0,0.0
96,1-CVAC07-GRY-00-HV,11996,1057.000000,536,0,0.000000,22800.0,0.0
96,1-CVAC07-GRY-00-HV,11996,1000.000000,259,1,2.800000,22800.0,63840.0
102,1-CVAC08-WHI-00-HV,11801,1000.000000,224,1,2.800000,0.0,0.0
102,1-CVAC08-WHI-00-HV,11801,1000.000000,1373,1,2.800000,22800.0,63840.0
102,1-CVAC08-WHI-00-HV,11801,500.000000,823,1,2.800000,22800.0,63840.0
107,1-CVAC09-GRP-00-HV,11995,1000.000000,259,1,2.800000,22800.0,63840.0
127,1-CVAC13-NA1-00-HV,11402,1000.000000,173,1,2.800000,22800.0,63840.0
131,1-CVAC14-NAV-00-HV,12118,1000.000000,1643,1,2.800000,22800.0,63840.0
131,1-CVAC14-NAV-00-HV,12118,1000.000000,348,1,2.800000,22800.0,63840.0
137,1-CVAC16-PNK-00-HV,12124,1000.000000,1280,1,2.800000,22800.0,63840.0
171,1-CVAC32-BGE-00-HV,12158,1000.000000,1280,1,2.800000,22800.0,63840.0
187,1-CVAC36-SGR-00-HV,12174,1000.000000,1643,1,2.800000,22800.0,63840.0
194,1-CVAC40-VGO-00-HV,11434,1000.000000,6,1,2.800000,22800.0,63840.0
228,1-CVAC54-IVO-00-HV,11998,1000.000000,259,1,2.800000,22800.0,63840.0
235,1-CVAC57-OLI-00-HV,11999,1000.000000,259,0,2.800000,22800.0,63840.0
249,1-CVAC59-OSB-00-HV,12231,1000.000000,972,1,2.800000,22800.0,63840.0
