creator_id,request_id,req_stockout_code,reason,req_stockout_status,is_complete_req,time_create
366,1,16062022-1,<p>PYC B&ugrave; h&agrave;ng s&ocirc; 35-2022 - Vương Thị Mỹ Trang : 15/06/2022</p>,completed,0,2022-06-16
366,2,16062022-2,<p>Ph&ograve;ng th&ecirc;u - 16/06 - Bex-220218-PO508-Lester Black</p>,completed,0,2022-06-16
366,3,16062022-3,<p>PYC-24/06-Lean 2 : DERMA SAFE HAT PO-37840</p>,completed,0,2022-06-16
366,4,16062022-4,<p>TỔ PHỐI - BAO ĐỰNG H&Agrave;NG</p>,completed,1,2022-09-24
366,5,16062022-5,<p>Phiếu b&ugrave; 21-06 : Lean 4- CHARTER BREEZE HAT - 37747 + CHARTER BREEZE HAT - Cream PO#37845</p>,completed,1,2022-09-24
366,6,16062022-6,<p>Phiếu b&ugrave; số 26/06 : Ph&ograve;ng th&ecirc;u - BEX-508-ALBANY GRAY</p>,completed,0,2022-06-16
366,7,16062022-7,<p>Số phiếu: 23/06 - Ph&ograve;ng th&ecirc;u - BEX-220315-PO523-GLIMMER WOMEN'S (BLACK) + RIDGELINE CAP -<br />PO# 37831</p>,completed,0,2022-06-16
366,9,16062022-8,<p>THỦ ĐỨC - Phiếu b&ugrave; số 29</p>,completed,0,2022-06-16
366,10,16062022-10,<p>THI&Ecirc;N ĐỨC - PHIẾU B&Ugrave; 29-NV</p>,completed,0,2022-06-16
366,11,16062022-11,<p>TỔ CẮT</p>,completed,0,2022-06-16
370,12,16062022-12,<p>xuất NPL mẫu</p>,completed,0,2022-06-16
348,13,16062022-13,<p>b&ugrave; h&agrave;ng cho những đơn h&agrave;ng tr&ecirc;n phần mềm cũ</p>,completed,0,2022-06-16
370,14,16062022-14,,completed,0,2022-06-16
366,16,16062022-16,<p>TỔ PHỐI</p>,completed,1,2022-09-24
366,17,16062022-17,<p>KIDS ULTRA ADVENTURE HAT M KOI-CINDER PO 37928<br />KIDS ULTRA ADVENTURE HAT M KOI-CINDER PO 37928<br />KIDS ULTRA ADVENTURE HAT M KOI-CINDER PO 37928<br />KIDS ULTRA ADVENTURE HAT M KOI-CINDER PO 37928</p>,completed,1,2022-09-24
366,18,17062022-18,<p>Phiếu YC số 30 : Nhập sai m&atilde; phần mềm - NV</p>,completed,1,2022-06-17
350,19,17062022-19,"<p>lấy vải v&agrave; d&acirc;y thun đi thử đai cho đơn h&agrave;ng DYC-US-220517-E11even-573</p>
<p>lấy tấm nhựa l&oacute;t m&aacute;y in&nbsp;</p>
<p>Chỉ may đai cho đơn h&agrave;ng movement club</p>",completed,0,2022-06-17
366,20,17062022-20,<p>Clear Creek Boonie M Lavender Pumice PO 37843<br />Clear Creek Boonie M Lavender Pumice PO 37843</p>,completed,0,2022-06-17
351,21,17062022-21,"<p>Vải bị l&ecirc;n m&agrave;u n&ecirc;n cần b&ugrave; lại/ May hư/ D&aacute;n hư/Đổi con giống lỗi</p>
<p>&nbsp;</p>",completed,1,2022-10-17
366,22,17062022-22,<p>DYC-THIẾU ĐỊNH MỨC CHỈ</p>,completed,1,2022-09-24
370,23,17062022-23,,completed,1,2022-08-12
370,27,17062022-27,<p>XUẤT NPL MẪU</p>,completed,0,2022-06-17
366,28,18062022-28,,completed,0,2022-06-18
366,29,18062022-29,<p>ADVENTURE HAT- Phiếu b&ugrave; số 33/06</p>,completed,0,2022-06-18
350,30,18062022-30,<p>lấy vải v&agrave; d&acirc;y thun đi thử đai cho đơn h&agrave;ng DYC-US-220517-E11even-573</p>,completed,0,2022-06-18
366,31,18062022-31,<p>Adventure hat - phiếu b&ugrave; số 33/06</p>,completed,0,2022-06-18
350,32,18062022-32,<p>lấy vải v&agrave; d&acirc;y thun đi thử đai cho đơn h&agrave;ng DYC-US-220517-E11even-573</p>,completed,0,2022-06-18
368,33,18062022-33,"<p>B&ugrave; nh&atilde;n lỗi cho đơn h&agrave;ng</p>
<p>HM-220505-SV OBERWOLFACH</p>
<p>HM-220509-CMW&nbsp;</p>
<p>Ng&agrave;y xuất 20/06/2022</p>",completed,0,2022-06-18
350,34,18062022-34,"<p>lấy sữ dụng cho đơn h&agrave;ng sản xuất&nbsp;</p>
<p>US-220517-E11even-573/01/02/03</p>",completed,0,2022-06-18
370,35,18062022-35,<p>cấp ph&aacute;t NPL mẫu</p>,completed,0,2022-06-18
366,36,20062022-36,<p>Xuất cắt viền b&ugrave; - Do in sai</p>,completed,0,2022-06-20
366,37,20062022-37,,completed,0,2022-06-20
366,39,20062022-39,<p>BS ĐỊNH MỨC</p>,completed,1,2022-06-20
366,40,20062022-40,<p>KEO 1020</p>,completed,0,2022-06-20
366,41,20062022-41,<p>Phiếu b&ugrave; số 34/06</p>,completed,0,2022-06-20
366,42,20062022-42,<p>Phiếu b&ugrave; số 35/06 - Lean 2</p>,completed,0,2022-06-20
366,43,20062022-43,<p>Phiếu b&ugrave; số 32/06 - Lean 5</p>,completed,0,2022-06-20
366,45,20062022-45,<p>PHIẾU B&Ugrave; SỐ 31/06 - PH&Ograve;NG TH&Ecirc;U</p>,completed,0,2022-06-20
