product_id,creator_id,request_id,is_exported,is_complete_req_detail,quantity_req_stockout,assign_product_stockout_id,quantity_exported_req_stockout,time_stock_out
1,359.0,1915,1,1,20.000000,49611.0,20.000000,2022-11-29
1,359.0,175,1,1,0.500000,9163.0,0.500000,2022-07-02
1,359.0,419,1,1,4.500000,16579.0,4.500000,2022-07-26
1,359.0,520,1,1,30.000000,19089.0,30.000000,2022-08-04
1,359.0,576,1,1,285.250000,20661.0,285.250000,2022-08-08
1,359.0,905,1,1,183.000000,26358.0,183.000000,2022-08-30
2,168.0,243,1,1,549.000000,11341.0,549.000000,2022-07-08
2,359.0,263,1,1,366.000000,12168.0,366.000000,2022-07-12
2,168.0,279,1,1,200.000000,12260.0,200.000000,2022-07-13
2,359.0,431,1,1,0.700000,17298.0,0.700000,2022-07-28
2,359.0,463,1,1,1.000000,17831.0,1.000000,2022-07-29
2,359.0,597,1,1,5.000000,21084.0,5.000000,2022-08-10
2,359.0,720,1,1,1.000000,23312.0,1.000000,2022-08-17
2,359.0,905,1,1,183.000000,26359.0,183.000000,2022-08-30
2,359.0,1064,1,1,200.000000,29612.0,200.000000,2022-09-19
2,359.0,1915,1,1,20.000000,49612.0,20.000000,2022-11-29
3,359.0,1730,1,1,60.000000,44851.0,60.000000,2022-11-11
4,359.0,1915,1,1,20.000000,49610.0,20.000000,2022-11-29
5,359.0,1631,1,1,273.000000,42645.0,327.600000,2022-11-02
5,359.0,1089,1,1,274.300000,30007.0,329.160000,2022-09-21
5,359.0,1101,1,1,274.300000,30016.0,329.160000,2022-09-21
5,359.0,1149,1,1,274.300000,31020.0,329.160000,2022-09-23
5,359.0,1242,1,1,274.000000,33033.0,87.920000,2022-09-30
5,359.0,1242,1,1,274.000000,33034.0,240.880000,2022-09-30
6,359.0,1508,1,1,2.700000,40207.0,2.740000,2022-10-24
7,359.0,1508,1,1,2.700000,40206.0,2.740000,2022-10-24
8,359.0,1508,1,1,2.700000,40205.0,2.740000,2022-10-24
9,168.0,96,1,1,1.000000,9182.0,1.000000,2022-07-02
9,359.0,329,1,1,0.500000,14590.0,0.500000,2022-07-19
9,359.0,1075,1,1,1.500000,29816.0,1.500000,2022-09-20
10,359.0,96,1,1,1.500000,6783.0,1.500000,2022-06-24
10,168.0,284,1,1,4.500000,12472.0,4.500000,2022-07-13
10,359.0,859,1,1,15.000000,25720.0,15.000000,2022-08-27
10,359.0,1675,1,1,3.000000,43512.0,3.000000,2022-11-05
10,359.0,1873,1,1,2.000000,48145.0,2.000000,2022-11-23
12,359.0,1897,1,1,0.500000,48832.0,0.500000,2022-11-25
12,359.0,85,1,1,4.000000,6792.0,4.000000,2022-06-24
12,359.0,96,1,1,7.000000,6782.0,7.000000,2022-06-24
12,359.0,252,1,1,0.500000,11951.0,0.500000,2022-07-11
12,359.0,1075,1,1,1.500000,29810.0,1.500000,2022-09-20
12,359.0,1222,0,0,1.000000,32680.0,1.000000,2022-09-29
13,359.0,96,1,1,4.000000,6778.0,4.000000,2022-06-24
13,359.0,329,1,1,0.500000,14593.0,0.500000,2022-07-19
13,359.0,757,1,1,2.000000,24460.0,2.000000,2022-08-22
14,359.0,85,1,1,2.000000,6794.0,2.000000,2022-06-24
14,359.0,96,1,1,2.000000,6784.0,2.000000,2022-06-24
14,191.0,1563,1,1,1.000000,42058.0,1.000000,2022-10-31
14,359.0,1897,1,1,0.500000,48833.0,0.500000,2022-11-25
15,359.0,96,1,1,5.000000,6785.0,5.000000,2022-06-24
15,359.0,329,1,1,0.500000,14592.0,0.500000,2022-07-19
15,359.0,451,1,1,1.000000,17827.0,1.000000,2022-07-29
15,359.0,466,1,1,1.000000,17828.0,1.000000,2022-07-29
16,359.0,96,1,1,3.000000,6786.0,3.000000,2022-06-24
16,359.0,859,1,1,13.000000,25721.0,13.000000,2022-08-27
16,359.0,1075,1,1,1.000000,29812.0,1.000000,2022-09-20
16,359.0,1276,1,1,1.000000,33945.0,1.000000,2022-10-04
16,359.0,1711,1,1,7.000000,44419.0,7.000000,2022-11-09
16,359.0,1897,1,1,2.000000,48834.0,2.000000,2022-11-25
16,359.0,2000,1,1,0.500000,51435.0,0.500000,2022-12-06
17,359.0,1711,1,1,5.000000,44418.0,5.000000,2022-11-09
17,359.0,1873,1,1,1.000000,48139.0,1.000000,2022-11-23
17,359.0,1897,1,1,2.000000,48837.0,2.000000,2022-11-25
17,359.0,96,1,1,5.000000,6781.0,5.000000,2022-06-24
17,359.0,1075,1,1,1.000000,29814.0,1.000000,2022-09-20
20,359.0,1075,1,1,1.000000,29817.0,1.000000,2022-09-20
20,359.0,1873,1,1,1.500000,48143.0,1.500000,2022-11-23
