product_id,purchase_order_id,quantity_arrived,actual_delivery_time
5545,2,500.0000000000,2022-05-24
815,3,943.6000000000,2022-06-23
811,3,1079.9000000000,2022-06-23
815,3,639.1000000000,2022-06-01
6773,4,5000.0000000000,2022-05-24
6758,4,5750.0000000000,2022-05-24
194,6,1045.1000000000,2022-05-31
7902,8,1000.0000000000,2022-05-15
409,9,50.2000000000,2022-06-01
405,9,201.1000000000,2022-06-03
4704,14,10000.0000000000,2022-05-17
4705,14,10000.0000000000,2022-05-16
4707,14,10000.0000000000,2022-07-04
2167,15,485.5000000000,2022-06-10
6613,17,1050.0000000000,2022-05-28
3880,18,45.7000000000,2022-06-11
3906,18,45.7000000000,2022-06-11
6823,21,200.0000000000,2022-06-08
8078,23,5000.0000000000,2022-05-31
8079,23,5000.0000000000,2022-05-31
8075,23,5000.0000000000,2022-05-31
8074,23,5000.0000000000,2022-05-31
8076,23,5000.0000000000,2022-05-31
8166,26,946.4000000000,2022-06-18
8167,29,50.0000000000,2022-05-14
8170,30,5000.0000000000,2022-05-24
8171,31,2.0000000000,2022-05-27
4435,33,1000.0000000000,2022-05-14
4441,33,5000.0000000000,2022-05-24
5958,33,7500.0000000000,2022-05-24
4453,33,1000.0000000000,2022-05-14
5958,33,2500.0000000000,2022-05-25
5956,34,3000.0000000000,2022-05-27
5954,34,1500.0000000000,2022-05-27
5956,34,500.0000000000,2022-05-30
5957,34,2600.0000000000,2022-05-27
8174,35,15000.0000000000,2022-05-18
7824,37,457.2000000000,2022-06-16
3644,38,20.0000000000,2022-05-13
8224,38,3.0000000000,2022-05-16
3610,38,20.0000000000,2022-05-13
3659,38,10.0000000000,2022-05-18
2,39,4572.0000000000,2022-05-24
1235,40,340.9000000000,2022-07-11
1235,40,75.2000000000,2022-07-11
1235,40,381.3000000000,2022-07-11
1235,40,256.8000000000,2022-07-11
1235,40,206.1000000000,2022-07-11
1235,40,317.1000000000,2022-07-11
6597,41,2040.0000000000,2022-05-18
6600,41,2500.0000000000,2022-05-18
6599,41,2040.0000000000,2022-07-01
6598,41,1500.0000000000,2022-05-18
904,42,1739.1000000000,2022-05-19
74,43,1000.0000000000,2022-06-23
4465,44,5000.0000000000,2022-05-27
7540,45,120000.0000000000,2022-07-21
8248,46,800.0000000000,2022-05-31
8245,46,660.0000000000,2022-06-05
4659,46,1000.0000000000,2022-05-24
8246,46,1000.0000000000,2022-05-30
5088,46,10200.0000000000,2022-06-07
4853,46,1500.0000000000,2022-05-24
8241,46,1000.0000000000,2022-05-30
8242,46,1000.0000000000,2022-05-31
8248,46,200.0000000000,2022-06-01
8245,46,380.0000000000,2022-06-03
5088,46,2030.0000000000,2022-06-05
5088,46,770.0000000000,2022-06-15
8247,46,1000.0000000000,2022-05-30
5088,46,1000.0000000000,2022-06-03
7957,47,1000.0000000000,2022-06-01
8289,49,1.0000000000,2022-05-18
3531,50,15.0000000000,2022-05-19
3490,50,5.0000000000,2022-05-19
6195,51,6000.0000000000,2022-06-24
6195,51,5600.0000000000,2022-07-27
6195,51,200.0000000000,2022-05-25
6196,51,1190.0000000000,2022-05-25
6195,51,1400.0000000000,2022-06-09
6196,51,810.0000000000,2022-06-27
8286,52,21089.0000000000,2022-05-30
4702,52,1000.0000000000,2022-05-14
2692,53,2.0000000000,2022-05-13
2731,53,5.0000000000,2022-05-13
8293,53,5.0000000000,2022-05-14
2749,53,1.0000000000,2022-05-13
2748,53,12.0000000000,2022-05-13
2857,53,3.0000000000,2022-05-13
2742,53,5.0000000000,2022-05-13
2974,53,2.0000000000,2022-05-31
807,55,10.0000000000,2022-05-14
8239,55,200.0000000000,2022-05-17
6245,55,200.0000000000,2022-05-17
870,55,10.0000000000,2022-05-19
6368,55,200.0000000000,2022-05-17
856,55,10.0000000000,2022-05-21
6296,55,200.0000000000,2022-05-17
6258,55,200.0000000000,2022-05-17
2491,57,5000.0000000000,2022-06-22
2628,57,2000.0000000000,2022-06-22
6594,58,200000.0000000000,2022-06-17
8296,60,20.0000000000,2022-05-16
7539,60,260.0000000000,2022-05-16
8301,60,3000.0000000000,2022-05-14
6442,60,20.0000000000,2022-05-16
2508,61,8000.0000000000,2022-06-22
8295,62,3000.0000000000,2022-05-26
3119,63,2.0000000000,2022-05-18
5531,64,3000.0000000000,2022-05-13
5948,65,200.0000000000,2022-05-19
3318,65,50.0000000000,2022-08-20
3445,65,2.0000000000,2022-05-20
29,66,422.4000000000,2022-05-19
8302,67,1196.0000000000,2022-05-21
8303,67,1199.0000000000,2022-05-21
8307,68,1.3000000000,2022-05-14
8306,68,2.0000000000,2022-05-14
8308,68,1.3000000000,2022-05-14
8320,68,1.0000000000,2022-05-14
8309,68,0.8000000000,2022-05-14
6838,69,100.0000000000,2022-05-14
8163,80,100.0000000000,2022-05-14
8164,80,100.0000000000,2022-05-14
8165,80,100.0000000000,2022-05-14
8319,81,650.0000000000,2022-05-17
4286,82,1000.0000000000,2022-05-15
8315,83,51.2000000000,2022-05-14
5555,84,14000.0000000000,2022-05-24
5554,84,10000.0000000000,2022-05-24
5553,84,10000.0000000000,2022-05-14
5557,84,40000.0000000000,2022-05-16
5566,84,6000.0000000000,2022-05-24
5932,84,8600.0000000000,2022-05-27
5421,84,1300.0000000000,2022-05-19
5561,84,1000.0000000000,2022-05-24
5515,84,5000.0000000000,2022-08-11
5932,84,51400.0000000000,2022-05-24
5582,84,1000.0000000000,2022-05-24
5905,85,500.0000000000,2022-05-19
8321,86,2.0000000000,2022-05-14
8322,86,5.0000000000,2022-05-14
3759,87,914.4000000000,2022-05-14
3743,87,914.4000000000,2022-05-14
3729,88,13716.0000000000,2022-07-04
3717,88,914.4000000000,2022-08-02
3746,88,5486.4000000000,2022-07-11
3802,88,22860.0000000000,2022-07-11
3709,88,50000.0000000000,2022-07-22
3841,88,10000.0000000000,2022-07-12
3836,88,457.2000000000,2022-07-12
3728,88,27249.1000000000,2022-07-13
3825,88,7278.6000000000,2022-07-15
3731,88,36576.0000000000,2022-06-20
3728,88,182.9000000000,2022-07-27
3725,88,914.4000000000,2022-07-11
3795,88,2743.2000000000,2022-07-11
3812,88,4572.0000000000,2022-07-11
3842,88,17000.0000000000,2022-07-12
3844,88,3000.0000000000,2022-07-12
3731,88,25283.1000000000,2022-07-13
3817,88,4572.0000000000,2022-07-15
3759,88,45.8000000000,2022-07-27
3743,88,2743.2000000000,2022-07-11
3727,88,1828.8000000000,2022-07-11
3796,88,9144.0000000000,2022-07-11
3824,88,1828.8000000000,2022-07-11
3837,88,274.3200000000,2022-07-12
3845,88,3000.0000000000,2022-07-12
3863,88,1828.8000000000,2022-07-13
3835,88,9.1000000000,2022-07-15
3825,88,36.6000000000,2022-07-27
3835,88,635.5000000000,2022-09-12
3747,88,3657.6000000000,2022-07-11
3730,88,4572.0000000000,2022-07-11
3801,88,4572.0000000000,2022-07-11
3820,88,914.4000000000,2022-07-11
3839,88,457.2000000000,2022-07-12
3838,88,457.2000000000,2022-07-12
3862,88,2743.2000000000,2022-07-13
3759,88,2697.4000000000,2022-07-15
3731,88,12920.4000000000,2022-07-18
3811,89,36.5760000000,2022-05-14
8048,90,3.0000000000,2022-06-06
8048,90,22.0000000000,2022-06-04
3577,91,3.0000000000,2022-05-18
6188,91,6.0000000000,2022-05-19
8236,92,10.0000000000,2022-05-23
8389,93,300.0000000000,2022-05-25
8390,93,300.0000000000,2022-05-25
8378,94,20.0000000000,2022-05-20
8466,94,10.0000000000,2022-05-21
2105,94,20.0000000000,2022-05-21
8393,94,172.0000000000,2022-05-20
1898,94,20.0000000000,2022-05-21
8396,95,700.0000000000,2022-05-27
8290,95,300.0000000000,2022-05-27
8369,96,1000.0000000000,2022-05-17
4511,96,240.0000000000,2022-06-06
4382,96,100.0000000000,2022-06-29
4511,96,6760.0000000000,2022-05-27
8249,96,1000.0000000000,2022-05-31
4382,96,920.0000000000,2022-05-24
8368,96,1000.0000000000,2022-05-31
8250,96,1000.0000000000,2022-06-01
