id,code,name,creator_id,created_at,updated_at,deleted_at,unique_id
1,M,Mét,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc529fa1651573692
2,Cone,Cone,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc5b31b1651573692
3,Set,Bộ,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc5ced71651573692
4,Pcs,Cái,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc5f2101651573692
5,Yard,Yard,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc608191651573692
6,Roll,Cuộn,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc61c061651573692
7,To,Tờ,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc630d91651573692
8,Ong,Ống,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc646081651573692
9,Hop,Hộp,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc659101651573692
10,Bich,Bịch,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc66d261651573692
11,L,Lít,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6811b1651573692
12,Chai,Chai,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc695a41651573692
13,Soi,Sợi,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6a8781651573692
14,Kg,Kilogram,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6bba31651573692
15,Vi,Vỉ,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6cf4a1651573692
16,Tam,Tấm,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6e2b71651573692
17,Doi,Đôi,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc6f6921651573692
18,Xap,Xấp,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc70aa11651573692
19,Goi,Gói,1,2022-05-03 17:28:12+00:00,2022-05-03 17:28:12+00:00,,627103bc720131651573692
20,Pia,Pia,344,2022-05-05 13:13:46+00:00,2022-05-05 13:13:46+00:00,,62736b0f434a41651731215
21,Cay,Cây,344,2022-05-05 13:18:59+00:00,2022-05-05 13:18:59+00:00,,62736c4a9e2441651731530
