id,code,name,creator_id,created_at,updated_at,deleted_at,unique_id
1,VND,Việt Nam Đồng,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f16291d1651573489
2,USD,Đô La Mỹ,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f16633f1651573489
3,EUR,Euro,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f1695f21651573489
4,CNY,Nhân dân tệ,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f16bb301651573489
5,JPY,Yên,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f16ec881651573489
6,KRW,Won,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f1712c71651573489
7,RUB,Ruble Nga,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f1734c61651573489
8,INR,Rupee Ấn Độ,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f1754c61651573489
9,EGP,Bảng Ai Cập,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f17798e1651573489
10,IRR,rial Iran,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f179d461651573489
11,GBP,Bảng Anh,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f17c0b51651573489
12,CZK,koruna Séc,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f17e40b1651573489
13,TND,Tunisia,1,2022-05-03 17:24:49+00:00,2022-05-03 17:24:49+00:00,,627102f180c531651573489
